,AE1,AE2,AE3,AE4,AE5,AE6,AE7,AE8
Homeodomain interacting protein kinase family,1.824454,-2.0122976,-0.74726576,0.24446188,-1.0270069,-0.5994596,-2.3766925,2.5071542
Homer scaffold proteins ,2.1611295,-2.6113455,-2.3882082,0.13770156,-0.96106786,0.69993067,-3.5126154,3.3673928
Homocysteine domain containing methyltransferases,2.7672384,-2.6371868,-0.60131663,-1.6667118,-3.9695084,-0.339589,-2.9494002,3.1105342
Hyaluronidases,1.9066765,-1.7122738,-0.62861735,-1.4811928,-1.2082549,-1.0882373,-2.561132,1.7450112
Hydrogen voltage gated channels,3.0244508,-2.2603865,1.5742481,0.014165953,-2.189634,-1.3435847,-3.54684,0.46589676
Hydroxycarboxylic acid receptors,0.92443347,-1.2553848,0.3627142,-2.4781487,-0.43156844,-0.31474102,-2.7506363,0.99880224
Hypocretin receptors,3.3814962,-3.650331,-3.864066,-0.018221453,-0.34717596,1.0641726,-3.0708416,3.0777857
I kappa B kinases,2.5389876,-0.9684365,1.228573,-0.6917125,-2.0491135,-1.3729093,-1.695569,-0.17752202
I-BAR domain containing,0.7918063,-0.080946475,-1.0931648,-1.7237802,-0.89772713,0.22861446,-0.78265756,1.3874847
I-set domain containing,1.7705066,-0.87037003,-1.0261306,-0.65977514,-1.1304737,0.14573427,-2.323274,2.2075396
IFT-A complex,4.306189,-0.7117381,-0.7495504,0.7892229,-2.497358,-1.5346807,-3.150418,3.3087475
IFT-B1 complex,4.0185175,-0.255166,-0.69066125,0.8197605,-2.9904923,-1.4570043,-2.8735461,3.0282567
IFT-B2 complex,3.8823116,-0.20679556,-1.2558426,1.0459048,-1.9179604,-1.1848803,-2.6083975,2.2371275
IGF like family,0.47252926,-0.3919225,-1.3177581,-1.4452455,-0.56953067,-1.024666,-0.99288243,1.5525937
IKK complex,1.5748912,-0.57880825,0.6291457,-0.53600216,-1.95826,0.63508,-2.4050975,-1.1394982
INO80 complex,1.5105624,-0.053125508,0.41891342,0.21947327,-1.2216133,-0.6571137,-1.7889812,-0.02467229
IPT domain containing,1.6595858,-0.2780409,0.21430466,-1.548427,-1.166106,0.07082628,-2.5745149,0.85099536
IQ motif containing GTPase activating protein family,1.8134536,0.02358213,-0.8597661,-2.3432724,-2.2959945,-0.6909273,-3.2310984,-0.40417185
IQSEC ARFGEF family,3.1020384,-3.7021997,-1.6451654,1.5326208,-0.39791757,1.5326446,-2.3133776,2.0830338
IZUMO family,2.656202,-1.2068129,-1.9115763,-0.26894993,-1.5595047,-2.8172765,-2.1973834,2.4507892
Ig-like cell adhesion molecule family,2.1038902,-1.6015662,-0.8273247,-0.4409268,-0.87759143,0.6461419,-1.6009171,0.8632238
IgCAM CXADR-related subfamily,1.1475176,0.38791028,-1.3123688,-1.0276905,-1.4207667,-0.042137817,-1.9907465,0.9386779
IgLON cell adhesion molecules,1.6004679,-1.4588215,-1.605924,0.7161378,0.6918669,1.2024679,0.4212104,1.6031034
Immunoglobulin heavy (IGH) orphons,1.8539597,-2.8671014,-1.601168,0.6942574,-2.1767914,-3.6326928,-3.1440074,3.9306614
Immunoglobulin kappa (IGK) orphons,1.6455928,-0.7635499,-1.276443,-1.5536808,-3.3062856,0.18020575,-4.3094993,-1.562577
Immunoglobulin kappa locus at 2p11.2,1.7257155,-0.9442203,-1.1893299,-1.4751037,-3.418267,0.09985457,-4.4060345,-1.6016555
Immunoglobulin like domain containing,1.6692291,-1.4856207,-0.35587233,-1.2668613,-1.2874583,0.07450859,-2.4853845,0.6017167
Importins,0.707907,-0.78114307,0.7927057,0.080265395,-1.1727045,-1.0822392,-1.4183838,1.9889889
Inhibin subunits,3.072213,-3.471926,-1.7201614,-1.9285167,-2.41035,-0.7062911,-2.4622915,3.421347
Inhibitory leukocyte immunoglobulin like receptors,2.4564478,-2.7184377,0.38988432,-2.646438,-2.1556683,0.7132511,-3.6293428,-0.7427995
Inosine monophosphate dehydrogenase family,1.4348214,0.49887595,0.2249516,-1.4025855,-0.48561794,-0.2870034,-3.3327055,0.4384356
"Inositol 1,4,5-triphosphate receptors",2.900479,-0.0906324,-0.32626274,0.0056236535,-2.5568888,0.3422519,-3.2721567,0.35637686
Insulin family,2.419694,-2.3473887,-1.1626655,-2.678215,-1.6634686,0.32712495,-3.3449485,3.2802386
Insulin like growth factor binding proteins,2.297784,-1.0226866,-0.10977767,-2.857966,-3.237579,0.21672346,-3.6976423,3.28888
Insulin receptor family,4.1929502,-2.0443096,-2.8498952,0.26446807,-2.7457712,-0.5020918,-4.1847277,3.8623517
Integrase like retrotransposon derived,2.2232087,-0.44651318,0.2690075,-0.4638824,-2.2181242,-1.3600023,-2.2778609,2.374787
Integrator complex,2.2489057,-0.07622589,1.0502205,-0.13013513,-1.9430451,-0.8546978,-1.9585466,0.24700837
Integrin alpha subunits,1.5020329,-0.53698206,0.011447333,-1.5876175,-1.9475133,0.69248486,-2.9752133,0.987849
Integrin beta subunits,1.2386386,0.5571861,-0.81460905,-1.9640769,-1.608804,0.23236816,-2.8962843,1.4386162
Inter-alpha-trypsin inhibitor heavy chains,1.9108433,-3.987768,-0.7536256,-3.4069083,-3.1481667,-0.13435249,-2.0101635,2.4744978
Interferon receptors,1.8781565,-0.99236155,0.33153602,-2.314813,-2.940176,0.6931349,-3.3599076,-0.71921986
Interferon regulatory factors ,2.3693252,-1.3160609,-0.22991017,-1.693632,-2.4338622,0.2313828,-3.825292,-1.2655746
Interferons,1.0434942,-1.949898,-2.2228408,-1.2502989,-1.1990683,-0.15854101,-2.0989163,1.7255602
Interleukin 6 type cytokine family,1.5397904,-1.3433111,0.20384344,-2.3313043,-1.0815476,0.47143608,-2.9585288,1.5903819
Interleukin receptors,1.2916244,-0.81146646,-0.16919848,-2.371994,-1.843046,0.025836334,-2.635185,0.3228598
Interleukins,0.8355948,-1.2904426,-0.97820944,-1.4456664,-1.0144491,-0.3844307,-2.2039244,0.945609
Intermediate filament family orphans,1.2786435,-1.4482752,0.72035176,-1.1068501,0.05427561,0.46046436,-2.0225925,0.6826685
Intermediate filaments Type III,0.3138707,-0.34229887,-0.06937263,-0.60623646,-0.16135651,0.5004552,-1.1721742,1.4558784
Intermediate filaments Type IV,1.7716653,-2.3730001,-1.753721,0.8102114,-0.2976771,1.1284345,-0.75222343,2.256881
Iron (II) and 2-oxoglutarate dependent oxygenases,1.0954825,-0.4115274,0.38822624,-0.6148775,-0.37120658,-0.9468447,-2.251698,0.66670316
Isoaspartate methyltransferases,1.766215,-1.503659,-0.5759671,0.6369022,-1.4807634,0.3367378,-3.0354815,2.6465228
Isocitrate dehydrogenases,-0.53304875,-0.9175391,-0.86772555,-0.5384726,-2.1356714,1.0022378,-2.0551105,0.31191444
Isthmin family,1.421291,-0.759987,-0.5338395,-2.6516807,-0.8220471,0.18290554,-2.633365,2.3338404
JAMM/MPN+ metallopeptidase family,0.07975776,-0.24658944,0.74656135,0.009099513,-1.6001782,-0.056065604,-1.2666209,0.26467487
Jak family tyrosine kinases,2.3306055,-1.7955904,1.3694286,-1.3796902,-1.9391801,-0.06516205,-4.0394106,-0.5308846
JmjC hydroxylases,2.5898056,-1.4904981,-0.6047022,1.5522751,-1.3663324,-1.0059795,-2.3191535,1.7252797
Jun transcription factor family,4.878184,-3.4841676,-2.404031,-1.772482,-3.0186675,0.9235946,-4.767525,2.3112128
Junctophilins,0.69131327,-1.9444132,-1.8133545,0.569034,0.460115,1.1651632,-1.0200074,2.4593766
KASH domain containing,2.3338592,-2.0939367,-1.1561049,0.027788684,-1.5423309,-0.8723777,-3.4619935,2.4247181
KCTD family,1.6385024,-0.026040316,-0.29526046,-0.17882212,-0.7788481,0.012206897,-1.0106716,1.3104545
KDEL endoplasmic reticulum protein retention receptors,3.0528214,0.72434366,-1.7269247,-2.7675488,-3.9950721,0.48592603,-4.353604,1.4734485
KEOPS complex,1.6365057,-0.9680344,0.16809228,0.4053648,-1.8503547,0.16937049,-2.322791,-0.314498
KICSTOR complex,2.208939,-0.9942318,-0.112705685,0.027523011,-1.7847431,0.33724725,-2.002914,0.3354115
KLF transcription factors,1.3135474,-0.7067548,-0.23983479,-2.1777136,-1.3872329,0.084473714,-2.4848068,1.0351685
KN motif and ankyrin repeat domain containing,2.0684073,-1.1319277,-0.85918313,-2.382342,-1.6526331,0.858669,-3.557533,3.1083229
KNL1 complex,1.2398155,-0.65109646,-0.48177305,-1.3856164,-2.3701165,-2.4826121,-1.7115653,-0.79730666
KRAB domain containing,2.760503,-0.31712174,0.18421873,0.42451978,-1.7790422,-0.5300677,-2.3589394,1.3679903
Kallikreins,0.6126127,0.019344658,-1.530853,-0.90437496,-0.474948,-0.42739147,-1.2956328,1.515333
Kelch like,0.9533862,-0.8978069,-0.7674234,-0.4385355,-0.21797407,0.06975205,-1.940593,2.3247159
Keratin associated proteins,1.1063838,-2.2962751,-2.6695487,-1.2493342,-1.0797077,-0.07576175,-2.740593,1.9954088
Keratins,3.3974948,-4.3089404,-2.1754894,-0.6377618,-1.1473964,1.9554209,-0.37593192,1.6066837
"Keratins, type I",0.25327748,-0.40670416,-1.731988,-1.5152414,-0.6872276,-0.2857271,-1.9110272,1.2469907
"Keratins, type II",0.1913833,-0.1521897,-1.4214529,-1.4695266,-0.45208126,-0.6897569,-1.6413584,1.383476
Killer cell immunoglobulin like receptors,2.1348143,-3.5742059,-1.1467288,-1.0275803,-1.1633524,0.5015139,-3.2590036,0.7048955
Killer cell lectin like receptors,2.4540062,-4.021988,-1.027808,0.3209762,-1.3627417,1.1982913,-3.5830603,-0.9336747
Kinesins,1.6007655,-0.5364562,-0.7589509,0.2434211,-0.71128714,-1.017069,-1.179466,0.69438154
Kleisins,3.791711,-2.1933517,-1.3006002,1.0052372,-1.3414264,-2.5538967,-2.993077,1.7756064
L ribosomal proteins,1.7066222,-0.49801275,-0.19191614,-1.2880819,-2.0012186,0.109296545,-4.568392,0.44762054
L-lactate dehydrogenase family,1.7117009,-1.6521556,-0.69747823,0.16167255,-1.459965,-2.3898876,-1.9090629,2.4053123
LAR protein receptor tyrosine phosphatase family,2.675711,-0.10826203,-2.0325768,-0.9048532,-1.1000397,1.1075519,-1.4262834,2.2658725
LEM domain containing,2.8262773,-0.43358764,0.9017146,-0.37397516,-1.6542013,-1.223462,-3.0014927,0.23394226
LGI family,0.72961444,-1.0848317,-1.001563,-0.32704175,-0.09036947,1.4141089,-0.202716,1.5793954
LHFPL tetraspan proteins,1.9192679,-1.4496535,-2.29795,0.32923052,0.027141027,1.1120149,-0.9130598,1.2546687
LIM class homeoboxes,1.3085372,-0.8450041,-2.022856,-0.67431635,-0.6836131,-0.9526011,-1.4816918,1.5847442
LIM domain containing,0.5405283,-0.2043354,0.13255823,-1.3099741,-1.03343,0.4118141,-2.5015404,1.7406168
LIMK/TESK kinase family,1.5232189,0.6652019,-0.25335363,-0.348005,-0.6257964,-1.0583012,-1.9224482,0.10919201
LIMS zinc finger family,2.437709,-1.172679,-0.17732307,-1.490214,-2.5010843,0.512149,-3.8758612,3.2514853
LINE1 element derived gene,2.0047982,-0.49402127,-0.22351342,-1.4761564,-1.0357863,-2.2059267,-2.5961232,1.5412518
LRAT domain containing ,2.212519,0.43460992,-2.8578649,-0.8239745,-1.4841418,0.03477384,-1.7122309,0.87810653
LSm proteins,1.230068,-1.0370785,0.6880707,0.014901251,-2.1782246,-0.46403718,-2.3801997,-0.008116713
LY6/PLAUR domain containing,0.84156895,-0.35603455,-1.1013868,-1.0223699,-0.53551024,-0.96965283,-1.324621,1.4605379
LYR motif containing,2.969629,-2.755461,-1.2225053,0.5706212,-3.5033422,0.29534543,-2.4922297,3.1702902
La ribonucleoproteins,2.0813937,-0.90284824,-0.2260283,-0.58639944,-2.560283,-0.6622771,-1.7820766,1.5385845
Laminin subunits,1.2940764,0.8731128,-0.5711861,-1.8906463,-1.3345777,-0.22220384,-2.7061284,2.4713967
Lamins,0.87029105,0.34543857,-0.035528697,-3.34866,-1.5297539,-0.4257145,-3.3066878,0.2775108
Large MAF bZIP transcription factor family,1.5011995,-2.2598822,-0.76671064,-0.028978214,-1.5031722,-0.20240928,-2.458341,1.5693517
Large ribosomal subunit biogenesis complex,2.0111978,-0.5794521,0.61671257,0.47759277,-0.7995063,-0.66807437,-1.76933,0.19978397
Large subunit mitochondrial ribosomal proteins,0.62507415,-2.011269,-0.88810354,-0.13088952,-3.2092695,0.17893396,-2.7680652,1.5237539
Large tumor suppressor kinase family,2.8905368,-0.7149949,1.1890268,-1.9842788,-2.294206,-0.9456464,-3.5131001,1.9491475
Late cornified envelope proteins,0.046198316,-0.46390322,-1.6036651,-1.4800996,-0.5432518,-0.5642205,-1.166223,1.5603731
Latent transforming growth factor beta binding proteins,2.9361725,-0.7023637,-0.1284658,-1.6219642,-2.2943895,0.3908605,-4.9189296,3.7236269
Leiomodins,-0.7201712,-1.3564281,-1.18699,-0.5193288,-0.55185443,0.8325083,-3.0394585,3.0947523
Leucine rich repeats and calponin homology domain containing,2.5264218,-0.65387464,0.95702356,-0.85540307,-1.6955072,-0.34073108,-2.91481,1.091615
Leucine zipper tumor suppressor family,2.6526523,-0.9883629,-2.2687547,0.39651185,0.028361492,0.35523045,-2.7411165,2.757281
Leukotriene receptors,0.72603893,-0.98627734,0.30689847,-2.5898824,-1.1028116,-0.0032507926,-2.4855616,0.24480633
Linear ubiquitin chain assembly complex ,3.25839,-1.547811,-0.9695355,0.8469903,-1.1565048,-0.70330656,-4.242938,1.2105197
Lipases,1.614743,-1.6107377,-2.0440671,-1.0246022,-1.1475382,0.24597026,-2.0863597,1.6423568
Lipid phosphatases,1.7687037,-0.0007428825,-2.321761,-1.5015804,-2.492867,0.18291368,-0.9272716,-1.3449535
Lipins,2.4101365,-0.17697874,-1.9770033,-2.0068524,-3.1920075,0.26624882,-2.226721,0.6245495
Lipocalins,2.0401194,-2.4305851,-1.6385874,-1.4193007,-2.3097813,-0.25034124,-2.3451033,1.975621
Long intergenic non-protein coding RNAs,1.542562,-1.8858253,-1.7552521,-0.7979484,-1.0618597,-0.5498645,-2.0149305,1.8812449
Long non-coding RNAs with FAM root symbol,1.6976235,-1.3656392,-1.3658895,0.071875826,-0.81155777,-1.8635932,-1.9062338,2.2856882
Long non-coding RNAs with non-systematic symbols,1.8757503,-1.4176415,-1.7198207,-0.16741063,-1.3707279,-0.8468496,-2.3054683,1.6873064
Long pentraxins,2.7113256,-2.990027,-2.2945652,-0.12184353,-0.026052661,0.6730665,-1.6041267,1.5846298
Low density lipoprotein receptors,2.3262734,-0.59360373,-2.1150575,-0.20470978,-1.1056404,0.80045897,-2.2217278,2.5649257
LysM domain containing,1.4101782,-0.68975246,0.021039926,-0.6922301,-1.9471953,0.41573912,-1.6543446,1.2523304
Lysine acetyltransferases,1.8208601,-0.23528756,0.51972526,0.19680808,-1.5451976,-1.2613555,-2.118431,-0.14546122
Lysine demethylases,2.0746796,-0.07072088,0.042067163,-0.44434464,-1.0840533,-1.6980618,-2.0943482,0.71022296
Lysophosphatidic acid receptors,1.3705289,-0.053626463,-0.37485626,-1.3367118,-1.2374197,-0.24446245,-1.6122301,0.6797868
Lysophospholipid acyltransferases,1.8814744,-0.31202942,-0.76511824,-0.6110927,-1.5939996,0.28891748,-1.1376439,0.31208533
Lysosome associated membrane proteins,2.7318149,-1.1720575,-0.8114557,-1.556975,-1.9425666,0.63302475,-1.9950163,0.6305698
"Lysozymes, c-type",1.2517277,-0.5379045,-1.7210948,-0.9029528,-0.78365004,-1.9919571,-2.4143336,1.8429832
"Lysozymes, g-type",3.2002861,-2.2758582,-2.5678103,0.32258332,-2.45008,-1.2765045,-3.899247,2.395454
M1 metallopeptidases,1.0117375,-0.4356741,-0.43793926,-1.7837893,-1.5019097,0.5735408,-2.5812604,-0.08982945
M10 matrix metallopeptidases,1.2174582,-0.33191258,-0.49796715,-1.8599368,-1.0172133,-0.08374207,-2.4461362,1.320754
M13 metallopeptidases,2.6484423,-1.6113229,-1.1164534,-0.7592844,-1.673752,-0.4779789,-2.9028556,1.321954
M14 carboxypeptidases,2.2674797,-0.7641914,-1.0209167,-1.3859826,-1.7956954,-0.39576858,-2.6203358,1.8671703
M16 metallopeptidases,-0.47645402,-0.984161,0.044395275,-0.23367442,-2.5272553,-0.524935,-1.3958552,1.2566162
M19 metallopeptidases,3.1068015,-2.2806048,-1.6493258,-0.3595276,-1.5035442,-1.7318509,-3.6327775,1.0908237
M20 metallopeptidases,2.1687448,-1.7304904,-2.4178643,-0.8525884,-2.6392114,1.1812238,-1.9739692,0.8632667
M24 metallopeptidase family,0.7395508,-0.3251551,0.0011201724,-0.9995419,-2.2260659,-0.4575342,-1.5245712,0.2514793
M28 metallopeptidases,1.8687418,-1.0874777,-1.0608894,-1.1214724,-1.6049502,0.2009431,-1.9440851,0.27118424
M3 metallopeptidase family,-0.09207743,-0.6457515,-0.06799737,-0.4268493,-1.5959866,-0.6854255,-0.73272455,1.5959125
M38 metallopeptidases,2.3166914,-2.8964303,-1.5808294,-0.16328473,-1.275933,0.8256404,-0.59292233,2.1615183
M48 metallopeptidase family,2.2414293,-0.6871526,-0.57393926,-1.573505,-5.196846,1.0694188,-3.8972242,0.84010947
M49 metallopeptidase family,1.2180314,0.2880508,-0.8953789,-1.1891108,-2.710069,0.10718347,-2.2164695,-2.0359728
M54 metallopeptidase family,2.6427336,-2.6579204,-0.62313974,1.8992858,-0.057347246,-0.8984035,-1.0477977,2.8247359
M76 metallopeptidase family,1.2663312,-1.3918118,-1.2009279,0.35165638,-2.0159965,-3.7549944,-3.2358115,2.329968
MAB21 family,-0.3615926,0.2765042,-1.072887,-1.7240795,-1.2594471,0.28705955,-1.5166693,0.42278942
MADS box family,0.4535157,-1.352741,1.128837,-0.5327637,-0.66066056,0.7527239,-2.523001,1.3608682
MAGE family,2.4145799,-1.6587443,-1.660591,-0.09237747,-0.94410294,-1.1268582,-1.750143,2.5968308
MAP kinase phosphatases,1.9483712,-1.2032458,-0.19347104,-2.1930876,-1.4470692,0.21062215,-2.2123187,0.88878244
MAPK activated protein kinases,1.2032523,0.4105694,-0.44203445,-0.6863216,-2.3521755,1.0060717,-1.8859146,0.280902
MAPK interacting serine/threonine kinase family,1.5504376,-1.8094271,-2.0938325,-1.9725791,-0.30978817,-0.14617117,-4.968378,1.4481808
MAPKAPK family,-0.064736776,-1.2724075,-0.7556828,-0.2757672,-1.9311453,0.31039512,-3.3539252,-0.0060115065
MARVEL domain containing,0.81830543,0.26730305,-1.6869041,-0.8758007,-0.98051196,0.44395888,-1.6146824,1.0203717
MAX dimerization proteins,0.90815973,-0.3047068,-0.6144243,-1.2803344,-0.70954084,-0.032706037,-2.0761237,-0.34316784
MBL domain containing glyoxalase 2 subfamily,2.6053843,-2.3198576,-2.1206923,0.0763661,-2.7750404,0.5432197,-1.8888707,1.0937904
MBL fold containing DNA/RNA interacting subfamily,2.3095136,-0.5909559,1.241648,0.21258669,-2.6415737,-0.8473127,-2.0972743,0.29006913
MBT domain containing,2.9089713,-0.71487474,0.16811189,1.0453552,-1.4789896,-1.463909,-2.5162296,1.5516344
MCM family,1.384084,-0.6173582,0.91310817,-0.70561147,-1.7022853,-2.08791,-2.191424,-0.23328288
MCU complex subunits,1.0820241,-1.2922105,-0.62110835,-0.50803447,-2.377854,0.7991512,-1.9505341,0.5556218
MD-2 related lipid recognition domain containing,2.5208936,-1.271159,1.2597159,-2.3118684,-2.29773,0.34457403,-3.2314413,-0.39829326
MELK family kinases,0.742288,0.10703686,-0.12520787,-1.785763,-1.7928317,-2.1053193,-2.475829,-1.0969511
MIA family,2.1536894,-2.397251,-2.796784,-0.7265975,-2.7523985,-0.024208024,-3.5797527,1.5934011
MIF family,3.1280656,-4.175932,-3.7953768,-1.3734341,-3.6396897,1.0361981,-3.153794,1.3645092
MIF4G domain containing proteins,0.99008584,-0.45995054,1.1460377,-0.760698,-1.4957529,-0.9162446,-1.7507184,0.67214674
MINDY deubiquitinases,2.25227,0.2831535,-1.2004415,-0.35751545,-1.2907736,-0.111949414,-1.8771067,2.0373952
MIS12 kinetochore complex,1.6866603,-1.2758278,1.4602954,-0.6859867,-2.581782,-0.11171584,-2.7427433,-0.2051226
MJD deubiquinating enzymes,1.35989,0.14424339,-0.3450803,-1.2605479,-0.79691553,-0.37207967,-1.7598753,0.34997398
MKS complex,4.1787086,-0.35704568,-0.8877725,0.5429138,-2.418514,-0.59967285,-3.3132584,2.816266
MMB complex subunits,1.7225925,-1.2848406,-0.3477819,-1.3515742,-1.3592913,-2.180202,-3.625662,-0.97525233
MOB kinase activators,1.3324704,0.05606866,0.6394843,-1.3674661,-1.6449264,0.6851134,-2.8007612,0.010506986
MPP10 subcomplex,0.53813565,-1.3144845,0.2742915,-0.6109309,-1.6650538,0.6455234,-2.4946184,-0.37284455
MRH domain containing ,3.84698,-1.3596725,-0.625375,-1.5513816,-3.2928438,0.7159833,-3.7908812,1.0341831
MRN complex,2.3742242,-0.14156812,1.2653431,-0.5221298,-2.4316866,-0.62551576,-1.7167017,0.43113407
MSL histone acetyltransferase complex,2.3337898,-1.3294302,1.6047244,-0.24752034,-1.5279207,-0.810597,-2.6320636,-0.52923596
MTOR complex 1,-0.9733653,-0.3461775,-1.2941749,-1.1172693,-1.0435734,0.5818044,-2.7971885,3.4751875
MTOR complex 2,1.6565633,-0.6622709,-1.0157052,0.7741578,-1.2259113,-0.4434452,-2.528828,1.2550949
MX dynamin like GTPase family,3.402495,-1.8544523,-0.035655655,-1.75255,-2.5210104,0.08175336,-5.2702494,-0.5957866
MYST type domain containing lysine acetyltransferases,2.3006587,-0.037625954,0.9047884,0.6176574,-0.9302162,-1.2128681,-2.6035144,1.3164145
Macro domain containing,2.1879241,-1.2088832,-0.20020244,-1.4955816,-2.525143,-0.42911583,-2.611628,0.27532676
Maestro heat like repeat containing,2.38426,-1.1911182,-1.5370959,0.37785333,-1.3083642,-2.4678676,-1.9833467,2.509411
Major cadherins,0.7809264,0.15520227,-0.06604854,-1.0888487,-0.62610835,0.05532317,-2.2191477,0.89023876
Malate dehydrogenases,0.5835557,-2.381868,-1.6251892,0.7816514,-1.8957031,0.30234587,-2.0679884,2.835835
Mannosidases alpha class 1,3.053786,-0.86947703,-0.22594014,-2.4115875,-2.9899943,0.623822,-2.7157352,0.45950595
Mannosidases alpha class 2,3.0832589,-1.757432,-0.83787835,-0.96708906,-1.4352086,0.7457992,-3.1466076,-0.22426613
Mannosidases endo-alpha,3.0731778,-1.0200971,-1.9513459,-0.87006295,-3.049292,0.9007375,-0.80952406,0.6793231
Mannosidases type beta,3.8089423,-0.28798398,-0.56027204,-1.4272605,-2.9348543,0.96502995,-3.371555,1.4707814
Mannosyl-glycoprotein N-acetylglucosaminyltransferases,2.5538123,-1.6738424,-1.6570061,0.115063325,-0.6424977,-0.8239691,-1.7584691,0.96029115
Mariner transposase derived genes,3.6676688,-0.677683,-0.9850337,1.0905046,-2.0498965,-0.27962536,-3.0802176,2.6899436
Matrilins,1.949541,-0.8659853,-1.6780457,-0.85919344,-0.45930058,0.04581587,-2.1246653,2.7597158
Mediator complex,1.7103282,-0.14386679,0.74825877,0.0455973,-1.5574762,-0.5449578,-1.8043766,0.29328147
Melanin concentrating hormone receptors,0.59406227,-1.0736574,-1.333417,-0.3718323,0.62675184,0.547126,0.07042655,1.5796522
Melanocortin receptors,1.9792495,-1.8687849,-2.1250768,-0.7043805,-1.6726048,-0.1871802,-1.4071059,1.6928911
Melatonin receptors,2.6381435,-4.308753,-2.0624862,-2.140979,-3.9554589,-0.76535165,-2.1194794,2.4942539
Membrane Attack complex,2.5791762,-3.8794136,-1.8716449,-3.2382448,-3.3943293,-0.05199687,-2.4011002,2.5962257
Membrane associated collagens with interrupted triple helices,2.4667172,-0.43064436,-2.134048,-0.01808615,-1.1844076,-0.18504532,-2.5354986,1.8515797
Membrane associated progesterone receptor family,3.0419104,-1.1019894,-1.6947016,-1.3324754,-3.3074675,0.83552074,-2.2403612,2.7081964
Membrane associated ring-CH-type fingers,1.48157,-0.79905844,-0.33653638,0.60673046,-0.5327431,-0.42120004,-1.2618546,0.81059843
Membrane bound O-acyltransferase family,2.971508,-1.5828631,-2.439708,0.1501721,-1.778061,0.6013789,-2.8993397,1.8236638
Membrane spanning 4-domains,1.5172322,-1.326629,-0.77693343,-2.0838008,-2.0307946,-0.2339234,-2.424043,0.2633647
Membrane-bound methyltransferase family,1.8192176,-0.34280518,0.3586746,-2.5521579,-2.075138,-1.3675934,-2.563751,2.2187948
Metallo-beta-lactamase fold containing family,3.7563603,-0.77444565,-2.7811656,0.9458363,-3.2957456,0.6264262,-1.5990083,0.6320068
Metallothioneins,2.119501,-1.5810623,-3.113655,-1.218006,-2.3128815,1.1547204,-1.5493255,1.1992526
Metaxins,2.1497276,0.08602929,0.10965463,0.48407537,-2.1377,-1.1854137,-1.3379653,1.5451775
Methionine adenosyltransferase family,3.1889741,-2.5536478,-2.7147825,-1.4921488,-2.026336,-0.28622812,-2.6166084,2.9365323
Methyl-CpG binding domain containing,3.2041426,-1.2316251,0.91058993,0.27410567,-1.8295043,-1.2939998,-3.1694875,0.24222897
Methylcrotonyl-CoA carboxylase subunits,2.294782,-2.378938,-1.8549864,-1.6290692,-5.2320013,1.5290256,-3.0212853,1.8871477
Methyltransferases with unique structures,3.2087739,-1.8013994,-0.56527174,-1.4281315,-4.164274,-0.26889545,-3.6648328,2.0470614
MiDAC complex subunits,1.9697812,0.09914073,0.97154,-0.8912971,-2.5423253,-0.8395458,-2.874436,-0.22151597
MicroRNA non-coding host genes,1.0443308,-2.1345396,-1.6387947,-0.95826936,-0.6814818,0.27333462,-2.4913783,1.9537978
MicroRNA protein coding host genes,1.4201409,-0.43476373,-0.25498185,-0.5974784,-1.1374488,0.03431432,-1.7628496,0.8703139
Microsomal glutathione S-transferases,0.8116313,-0.9047648,-1.9400103,-2.07568,-3.199458,0.938244,-2.253617,1.3746269
Microtubule affinity regulating kinases,0.8786465,0.08298743,0.19239724,0.33709747,0.20141715,-0.37152565,-1.3771861,1.5150123
Microtubule associated protein RP/EB family ,1.4023334,-1.7743802,0.3210484,-0.0013556182,-0.8842791,1.0399288,-1.0903697,1.2203033
Microtubule associated serine/threonine kinase family,1.1260419,-0.5072979,-0.56862587,0.33244732,-0.22825125,-0.20222127,-0.5273211,0.6362268
Minor histocompatibility antigens,1.447123,-1.0275542,-0.27709815,-2.0510836,-2.03226,-0.2662905,-2.7812726,-0.1666442
Misc,1.5471932,-0.92365813,-0.9283202,-0.5456821,-1.2719857,-0.31888485,-1.8223972,1.3489695
Mitochondrial RNase P complex,0.47108677,-1.3569173,1.0583832,-3.4993484,-4.6827283,0.19478764,-2.021965,1.297748
Mitochondrial complex I assembly complex,0.85982585,-2.2281256,-0.8498114,0.38025126,-3.0622065,0.9193728,-2.335227,1.8578207
Mitochondrial complex II: succinate dehydrogenase subunits,-0.14098239,-2.0692096,-0.84373045,-1.499633,-4.868408,1.0027809,-2.8386505,0.98679554
Mitochondrial complex III: ubiquinol-cytochrome c reductase complex subunits,-0.036838524,-2.9945188,-2.4251976,-0.107968345,-3.1668937,1.180493,-3.5916684,1.5283031
Mitochondrial complex IV: cytochrome c oxidase subunits,-0.31338692,-1.5912493,-1.4310625,-0.3732133,-1.7997563,0.4212312,-2.1771772,1.3350801
Mitochondrial complex V: ATP synthase subunits,-0.5250479,-2.1514196,-1.8944855,-0.08612703,-2.9952013,0.9921752,-2.92186,1.047286
Mitochondrial contact site and cristae organizing system subunits,1.2518961,-1.6614131,-1.9172378,1.0804824,-2.0442817,0.6267234,-1.6683838,2.4149177
Mitochondrial iron-sulfur assembly components,1.5337038,-2.7231326,-0.90189856,0.52873325,-2.8952649,-0.037112817,-2.9306617,2.4658985
